DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,,,,
2/2/2020 13:39,5.92,"3,149", , , , , 
2/2/2020 13:44,5.92,"3,986", , , , , 
2/2/2020 13:49,5.92,"3,584", , , , , 
2/2/2020 13:54,5.96,"5,371", , , , , 
2/2/2020 13:59,5.96,"5,609", , , , , 
2/2/2020 14:04,5.92,"3,446", , , , , 
2/2/2020 14:09,6,"6,710", , , , , 
2/2/2020 14:14,5.92,"5,320", , , , , 
2/2/2020 14:19,5.87,"5,027", , , , , 
2/2/2020 14:24,5.92,"5,142", , , , , 
2/2/2020 14:29,5.96,"7,432", , , , , 
2/2/2020 14:34,5.92,"6,095", , , , , 
2/2/2020 14:39,5.92,"6,287", , , , , 
2/2/2020 14:44,5.87,"6,259", , , , , 
2/2/2020 14:49,5.87,"6,198", , , , , 
2/2/2020 14:54,6.09,"12,590", , , , , 
2/2/2020 14:59,6,"7,309", , , , , 
2/2/2020 15:04,6.26,"13,798", , , , , 
2/2/2020 15:09,6.35,"14,761", , , , , 
2/2/2020 15:14,6.26,"13,158", , , , , 
2/2/2020 15:19,6.35,"13,788", , , , , 
2/2/2020 15:24,6.65,"38,328", , , , , 
2/2/2020 15:29,6.6,"9,654", , , , , 
2/2/2020 15:34,6.56,"9,981", , , , , 
2/2/2020 15:39,6.52,"8,128", , , , , 
2/2/2020 15:44,6.35,"9,242", , , , , 
2/2/2020 15:49,6.39,"8,443", , , , , 
2/2/2020 15:54,6.35,"8,701", , , , , 
2/2/2020 15:59,6.35,"8,630", , , , , 
2/2/2020 16:04,6.43,"9,357", , , , , 
2/2/2020 16:09,6.43,"10,015", , , , , 
2/2/2020 16:14,6.6,"12,800", , , , , 
2/2/2020 16:19,6.65,"15,314", , , , , 
2/2/2020 16:24,6.78,"12,488", , , , , 
2/2/2020 16:29,7.08,"18,371", , , , , 
2/2/2020 16:34,6.95,"17,147", , , , , 
2/2/2020 16:39,7.33,"16,906", , , , , 
2/2/2020 16:44,7.33,"22,159", , , , , 
2/2/2020 16:49,7.55,"54,538", , , , , 
2/2/2020 16:54,7.08,"53,965", , , , , 
2/2/2020 16:59,6.99,"9,964", , , , , 
2/2/2020 17:04,6.99,"35,492", , , , , 
2/2/2020 17:09,7.03,"8,673", , , , , 
2/2/2020 17:14,7.2,"11,576", , , , , 
2/2/2020 17:19,7.16,"29,020", , , , , 
2/2/2020 17:24,7.03,"11,566", , , , , 
2/2/2020 17:29,7.46,"47,677", , , , , 
2/2/2020 17:34,7.2,"11,192", , , , , 
2/2/2020 17:39,6.86,"13,727", , , , , 
2/2/2020 17:44,6.95,"10,624", , , , , 
2/2/2020 17:49,6.99,"12,472", , , , , 
2/2/2020 17:54,7.03,"12,462", , , , , 
