DateTimeHOBO_UTC,Temp_Inc,Light_Inc,,
2/2/2020 16:08,6.99,"4,703", , 
2/2/2020 16:13,7.16,"6,405", , 
2/2/2020 16:18,7.12,"4,284", , 
2/2/2020 16:23,7.29,"6,198", , 
2/2/2020 16:28,7.33,"6,866", , 
2/2/2020 16:33,7.46,"6,815", , 
2/2/2020 16:38,7.46,"5,350", , 
2/2/2020 16:43,7.55,"6,446", , 
2/2/2020 16:48,7.59,"4,356", , 
2/2/2020 16:53,7.55,"4,090", , 
2/2/2020 16:58,7.55,"3,619", , 
2/2/2020 17:03,7.5,"2,975", , 
2/2/2020 17:08,7.55,"3,059", , 
2/2/2020 17:13,7.55,"3,631", , 
2/2/2020 17:18,7.59,"3,052", , 
2/2/2020 17:23,7.63,"5,545", , 
2/2/2020 17:28,7.72,"4,563", , 
2/2/2020 17:33,7.72,"4,164", , 
2/2/2020 17:38,7.76,"4,329", , 
2/2/2020 17:43,7.76,"4,056", , 
2/2/2020 17:48,7.81,"4,608", , 
2/2/2020 17:53,7.89,"6,257", , 
2/2/2020 17:58,7.85,"5,988", , 
2/2/2020 18:03,7.81,"4,916", , 
2/2/2020 18:08,7.81,"4,904", , 
2/2/2020 18:13,7.76,"3,348", , 
2/2/2020 18:18,7.72,"3,247", , 
2/2/2020 18:23,7.76,"4,209", , 
2/2/2020 18:28,7.81,"7,119", , 
2/2/2020 18:33,7.93,"6,945", , 
2/2/2020 18:38,7.98,"6,241", , 
2/2/2020 18:43,7.98,"8,484", , 
2/2/2020 18:48,7.98,"7,173", , 
2/2/2020 18:53,8.11,"11,397", , 
2/2/2020 18:58,8.02,"7,972", , 
2/2/2020 19:03,8.11,"9,283", , 
2/2/2020 19:08,8.06,"6,333", , 
2/2/2020 19:13,8.23,"10,675", , 
2/2/2020 19:18,8.06,"8,328", , 
2/2/2020 19:23,8.06,"5,652", , 
2/2/2020 19:28,7.98,"4,846", , 
2/2/2020 19:33,7.98,"5,258", , 
2/2/2020 19:38,7.98,"4,449", , 
2/2/2020 19:43,7.93,"6,392", , 
2/2/2020 19:48,8.02,"7,731", , 
2/2/2020 19:53,8.06,"7,816", , 
2/2/2020 19:58,7.98,"6,356", , 
2/2/2020 20:03,8.11,"9,956", , 
2/2/2020 20:08,8.36,"9,464", , 
2/2/2020 20:13,8.23,"6,464", , 
2/2/2020 20:18,8.02,"5,663", , 
2/2/2020 20:23,7.93,"4,631", , 
2/2/2020 20:28,7.89,"4,783", , 
2/2/2020 20:33,7.93,"4,394", , 
2/2/2020 20:38,7.85,"3,450", , 
2/2/2020 20:43,7.81,"3,443", , 
2/2/2020 20:48,7.89,"4,346", , 
2/2/2020 20:53,7.76,"2,947", , 
2/2/2020 20:58,7.81,"3,060", , 
2/2/2020 21:03,7.76,"2,650", , 
2/2/2020 21:08,7.76,"3,231", , 
2/2/2020 21:13,7.85,"4,018", , 
