cruise,cast,niskin,niskin_second_cast,station,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,temperature_sampling,incubation_tank,temperature_incubation_avg,temperature_incubation_std,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,a,b,>0&<200,152,6,0.776503022,2.22867365,108,53.7,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,a,c,>0&<200,152,6,0.776503022,2.22867365,108,52.8,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,b,a,>0&<200,152,6,0.776503022,2.22867365,98.7,56.6,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,b,b,>0&<200,152,6,0.776503022,2.22867365,97.1,54.5,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,b,c,>0&<200,152,6,0.776503022,2.22867365,121,53,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,c,a,>0&<200,152,6,0.776503022,2.22867365,95.8,52.4,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,c,b,>0&<200,152,6,0.776503022,2.22867365,97.2,52.5,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,1',19-20-21-22',NA,L1,NaN,2022-07-29 20:15:00+00:00,2022-07-30 20:31:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TF,wsw,N,65%,c,c,>0&<200,152,6,0.776503022,2.22867365,74.7,56.7,1.07,1.055,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>0&<200,152,6,0.776503022,2.22867365,6.15,4.09,1.06,1.04,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>0&<200,152,6,0.776503022,2.22867365,6.53,4.09,1.06,1.04,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,c,>0&<200,152,6,0.776503022,2.22867365,7.14,4.81,1.06,1.04,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,a,>10&<200,152,6,0.776503022,2.22867365,1.84,1.56,1.06,1.04,NaN,NaN,NaN,NaN,NaN,NaN
en687,2',19-20-21-22',NA,L2,NaN,2022-07-30 03:50:00+00:00,2022-07-31 04:21:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,T0,dil,NA,NA,NA,b,>10&<200,152,6,0.776503022,2.22867365,1.82,1.49,1.06,1.04,NaN,NaN,NaN,NaN,NaN,NaN
