cruise,cast,niskin,niskin_other_method,date_time_utc_sampling,date_time_utc_start,date_time_utc_end,latitude,longitude,depth,T0_TF,dilution,nutrient_treatment,light_level,replicate_bottle,replicate_chl,filter_size,vol_filtered,vol_extracted,Fs,r,fo,fa,blank,blank_acid,fo_blank,fa_blank,fo_fa,chl,phaeo,iode_quality_flag,nearest_station,distance
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,15%,b,b,>10&<200,152,6,0.813376915,2.21629417,173,83.5,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,15%,b,c,>10&<200,152,6,0.813376915,2.21629417,159,83.4,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,15%,a,a,>10&<200,152,6,0.813376915,2.21629417,163,80.3,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,15%,a,b,>10&<200,152,6,0.813376915,2.21629417,164,81.4,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,15%,a,c,>10&<200,152,6,0.813376915,2.21629417,165,82.3,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,15%,b,a,>10&<200,152,6,0.813376915,2.21629417,162,80.3,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,15%,b,b,>10&<200,152,6,0.813376915,2.21629417,162,79.9,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,N,15%,b,c,>10&<200,152,6,0.813376915,2.21629417,169,83.1,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,65%,a,a,>0&<200,152,6,0.813376915,2.21629417,49.1,27.4,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,65%,a,b,>0&<200,152,6,0.813376915,2.21629417,47.3,26,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,65%,a,c,>0&<200,152,6,0.813376915,2.21629417,49.8,25.7,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,65%,b,a,>0&<200,152,6,0.813376915,2.21629417,47.6,26.5,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,65%,b,b,>0&<200,152,6,0.813376915,2.21629417,45.1,29,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,dil,N,65%,b,c,>0&<200,152,6,0.813376915,2.21629417,49.3,27.5,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,65%,a,a,>0&<200,152,6,0.813376915,2.21629417,223,111,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,65%,a,b,>0&<200,152,6,0.813376915,2.21629417,191,90,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,65%,a,c,>0&<200,152,6,0.813376915,2.21629417,193,106,0.9165,0.899,,,,,,,,
en661,1',17-18-19-20',,,2/3/2021 15:02,2/4/2021 15:00,,,,TF,wsw,NoN,65%,b,a,>0&<200,152,6,0.813376915,2.21629417,,,0.9165,0.899,,,,,,,,
